"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","USA"
"Time:","01/1920 - 08/2022"
"Unit of Measure:","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production, 01/1920 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP1845CAA6BEB23"
"ColumnCount:",2
"RowCount:",1232

"Time","US Crude Oil Production (Barrels)"
"01/1920",34008000
"02/1920",33193000
"03/1920",36171000
"04/1920",34945000
"05/1920",36622000
"06/1920",36663000
"07/1920",37746000
"08/1920",38906000
"09/1920",37521000
"10/1920",39584000
"11/1920",38609000
"12/1920",38961000
"01/1921",38138000
"02/1921",35524000
"03/1921",41105000
"04/1921",40233000
"05/1921",42189000
"06/1921",40548000
"07/1921",40461000
"08/1921",41109000
"09/1921",36763000
"10/1921",35832000
"11/1921",38108000
"12/1921",42173000
"01/1922",43696000
"02/1922",41314000
"03/1922",47188000
"04/1922",45167000
"05/1922",47002000
"06/1922",46087000
"07/1922",47134000
"08/1922",47059000
"09/1922",45805000
"10/1922",48410000
"11/1922",48027000
"12/1922",50642000
"01/1923",52527000
"02/1923",48588000
"03/1923",56969000
"04/1923",59008000
"05/1923",62377000
"06/1923",62845000
"07/1923",65925000
"08/1923",66422000
"09/1923",65306000
"10/1923",67506000
"11/1923",65388000
"12/1923",59546000
"01/1924",57273000
"02/1924",55889000
"03/1924",60141000
"04/1924",59830000
"05/1924",61834000
"06/1924",59583000
"07/1924",61932000
"08/1924",62398000
"09/1924",60376000
"10/1924",60469000
"11/1924",56782000
"12/1924",57433000
"01/1925",53802000
"02/1925",48571000
"03/1925",53597000
"04/1925",51914000
"05/1925",53367000
"06/1925",51915000
"07/1925",52138000
"08/1925",52198000
"09/1925",51559000
"10/1925",51769000
"11/1925",49921000
"12/1925",49622000
"01/1926",59981000
"02/1926",54892000
"03/1926",60880000
"04/1926",60371000
"05/1926",62822000
"06/1926",61789000
"07/1926",65168000
